消费电子,摄影摄像,快门线和遥控器,-,1.047384%,0.48927%,0.269569%,0.48128%,74.56%
消费电子,摄影摄像,运动摄像机,-,3.96126%,2.47411%,4.658221%,1.036256%,10.69%
消费电子,摄影摄像,运动摄像机配件,-,1.86873%,0.990685%,0.302192%,0.559488%,33.26%
消费电子,摄影摄像,三脚架和配件,云台,0.5115439122%,0.24569335%,0.2084692116%,0.0795023424%,86.46%
消费电子,摄影摄像,三脚架和配件,三脚架腿,0.061604307%,0.0194667%,0.0022375944%,0.0030577824%,42.67%
消费电子,摄影摄像,三脚架和配件,快装板,0.3819467034%,0.1687114%,0.0544481304%,0.056059344%,120.32%
消费电子,摄影摄像,三脚架和配件,三脚架,4.2269681166%,2.7029218%,1.5995070636%,3.26163456%,100.64%
消费电子,摄影摄像,摄像机,-,1.165998%,0.546525%,0.254116%,0.081216%,24.41%
消费电子,DIY电子产品,集成电路,-,2.243818%,0.966075%,0.176939%,0.337722%,184.3%
消费电子,DIY电子产品,LCD显示屏,-,0.798248%,0.300465%,0.173411%,0.077484%,12.98%
消费电子,DIY电子产品,LED显示屏,-,0.228126%,0.08646%,0.034349%,0.046464%,7.16%
消费电子,DIY电子产品,传感器,-,1.008232%,0.36828%,0.105301%,0.213774%,2.26%
消费电子,电子烟,电子烟雾化芯,-,0.889236%,0.597094%,0.639559%,0.68561%,133.69%
消费电子,电子烟,电子烟雾化器,-,1.954116%,1.681538%,1.370249%,1.453619%,147.27%
消费电子,电子烟,电子烟电池&供电模块,-,0.850068%,0.503234%,0.30377%,0.290598%,114.47%
消费电子,电子烟,电子烟充电器,-,0.234396%,0.119852%,0.03284%,0.062271%,66.22%
消费电子,电子烟,电子烟装饰件,-,1.313352%,0.950874%,0.357135%,0.873052%,112.93%
消费电子,电子烟,电子烟套件,-,4.416804%,4.410698%,4.804492%,2.94372%,72.63%
消费电子,电子烟,电子烟电池仓,-,0.987156%,0.719112%,0.694566%,0.256003%,76.97%
消费电子,游戏及配附件,游戏小配件,-,6.9768%,4.025784%,0.588234%,0.681768%,157.63%
消费电子,游戏及配附件,包,-,0.401472%,0.126772%,0.020856%,0.0153%,26.4%
消费电子,游戏及配附件,电池,-,0.192168%,0.057975%,0.009006%,0.011016%,110.77%
消费电子,游戏及配附件,各类线材,-,1.246032%,0.483898%,0.037446%,0.115668%,65.56%
消费电子,游戏及配附件,外壳,-,1.23624%,0.578204%,0.246954%,0.143208%,68.91%
消费电子,游戏及配附件,充电器,-,1.108944%,0.445248%,0.072996%,0.145044%,37.18%
消费电子,游戏及配附件,耳机,-,0.474912%,0.148416%,0.038394%,0.00612%,16.88%
消费电子,游戏及配附件,风扇,-,0.525096%,0.204845%,0.029862%,0.065484%,40.47%
消费电子,游戏及配附件,游戏光盘,-,0.001224%,0.0%,0.0%,0.0%,39.06%
消费电子,游戏及配附件,游戏外设工具,FIT平衡板,0.0058186512%,0.0017251041%,0.0002383746%,0.0%,83.66%
消费电子,游戏及配附件,游戏外设工具,拳击手套,0.0145256976%,0.0051753123%,6.46062e-05%,0.0%,335.96%
消费电子,游戏及配附件,游戏外设工具,跳舞毯,0.0869867424%,0.0312792131%,0.0156748008%,0.0141643728%,190.88%
消费电子,游戏及配附件,游戏外设工具,鼓,0.0114279984%,0.0035170727%,0.0003475368%,0.0%,140.19%
消费电子,游戏及配附件,游戏外设工具,高尔夫球杆,0.0004604688%,0.0001604748%,0.0%,0.0%,"1,980.95%"
消费电子,游戏及配附件,游戏外设工具,吉他,0.0129349872%,0.0037979036%,0.0007440852%,0.0015730848%,668.86%
消费电子,游戏及配附件,游戏外设工具,游戏枪,0.186908472%,0.0506164265%,0.0022433946%,0.0047225592%,32.1%
消费电子,游戏及配附件,游戏外设工具,曲棍球杆,0.0%,0.0%,0.0%,0.0%,0.0%
消费电子,游戏及配附件,游戏外设工具,摩托艇,0.0%,0.0%,0.0%,0.0%,0.0%
消费电子,游戏及配附件,游戏外设工具,音乐套装,0.0190048032%,0.0053892787%,0.0003631314%,0.0015730848%,132.19%
消费电子,游戏及配附件,游戏外设工具,乒乓球拍,0.000209304%,6.68645e-05%,0.0%,0.0%,"1,219.05%"
消费电子,游戏及配附件,游戏外设工具,桌球杆,0.0001255824%,2.67458e-05%,0.0%,0.0%,"1,828.57%"
消费电子,游戏及配附件,游戏外设工具,运动套装,0.1133171856%,0.0340474034%,0.0017243172%,0.0110148984%,29.55%
消费电子,游戏及配附件,游戏外设工具,光剑,0.0143163936%,0.0032897334%,0.0002094132%,0.0%,4.88%
消费电子,游戏及配附件,游戏外设工具,瑜伽垫/健身毯,0.0032232816%,0.0009093572%,7.35174e-05%,0.0%,348.3%
消费电子,游戏及配附件,游戏手柄,-,2.167704%,1.393719%,0.325638%,0.301104%,69.19%
消费电子,游戏及配附件,掌上游戏机,-,0.843336%,0.452978%,0.298146%,0.141984%,18.41%
消费电子,游戏及配附件,硬盘及硬盘盒,-,0.188496%,0.074208%,0.020856%,0.023256%,80.4%
消费电子,游戏及配附件,游戏摇杆,-,0.460224%,0.209483%,0.038394%,0.028152%,33.64%
消费电子,游戏及配附件,记忆卡,-,0.993888%,0.449886%,0.170166%,0.124848%,163.48%
消费电子,游戏及配附件,模块/元器件,-,1.215432%,0.500904%,0.036972%,0.102816%,298.5%
消费电子,游戏及配附件,加速器,-,0.033048%,0.013141%,0.00711%,0.01224%,60.03%
消费电子,游戏及配附件,Kinect体感器,-,0.072216%,0.023963%,0.002844%,0.00306%,26.33%
消费电子,游戏及配附件,Wii控制器(右手),-,0.138312%,0.047926%,0.025596%,0.028152%,33.06%
消费电子,游戏及配附件,电源及适配器,-,0.345168%,0.109766%,0.0237%,0.020196%,44.49%
消费电子,游戏及配附件,Wii控制器(左手),-,0.383112%,0.13141%,0.043134%,0.045288%,18.27%
消费电子,游戏及配附件,屏幕贴膜,-,0.17136%,0.04638%,0.002844%,0.007956%,22.73%
消费电子,游戏及配附件,屏幕,-,0.2448%,0.080392%,0.042186%,0.020196%,83.83%
消费电子,游戏及配附件,底座,-,0.853128%,0.300697%,0.027018%,0.074664%,21.38%
消费电子,游戏及配附件,贴纸,-,0.877608%,0.343985%,0.032706%,0.060588%,85.41%
消费电子,游戏及配附件,触笔,-,0.314568%,0.122907%,0.004266%,0.034272%,20.28%
消费电子,游戏及配附件,USB适配器,-,0.090576%,0.026282%,0.002844%,0.001836%,25.1%
消费电子,游戏及配附件,游戏主机,-,0.676872%,0.302243%,0.115182%,0.031212%,44.36%
消费电子,游戏及配附件,游戏方向盘,-,0.130968%,0.051018%,0.000948%,0.001836%,14.89%
消费电子,家用音视频设备,"功率放大器,扩音机",-,2.593605%,2.130624%,0.916674%,0.375661%,86.84%
消费电子,家用音视频设备,蓝光播放机,-,0.04359%,0.014248%,0.0%,0.0%,22.16%
消费电子,家用音视频设备,磁带录音播放机,-,0.180172%,0.073432%,0.029412%,0.017316%,52.34%
消费电子,家用音视频设备,"DVD, VCD 播放机",-,0.201967%,0.097544%,0.034314%,0.011063%,31.58%
消费电子,家用音视频设备,硬盘播放机,-,0.187437%,0.086584%,0.083334%,0.025012%,49.64%
消费电子,家用音视频设备,家庭影院系统,-,0.325472%,0.149056%,0.022876%,0.002886%,18.45%
消费电子,家用音视频设备,卡拉OK播放机,-,0.091539%,0.04384%,0.037582%,0.00481%,41.47%
消费电子,家用音视频设备,投影及配件,投影配附件,0.1140888335%,0.0417124448%,0.042055075%,0.0078068705%,151.52%
消费电子,家用音视频设备,投影及配件,投影屏,0.6182323204%,0.2848293568%,0.1675474188%,0.0358679295%,55.41%
消费电子,家用音视频设备,投影及配件,投影支架,0.0589817743%,0.0224605472%,0.0171584706%,0.006223659%,22.13%
消费电子,家用音视频设备,投影及配件,投影仪灯泡,0.6122049858%,0.241882816%,0.3697482194%,0.081125941%,651.05%
消费电子,家用音视频设备,投影及配件,投影仪,3.7020750161%,2.089324528%,2.767223935%,0.4164938115%,15.99%
消费电子,家用音视频设备,电视棒,-,1.499496%,0.72884%,0.76798%,0.584896%,40.56%
消费电子,家用音视频设备,电视机,-,1.614283%,0.762816%,0.142158%,0.018759%,3.67%
消费电子,家用音视频设备,电视接收,无线广播&电视广播设备,0.7625787165%,0.3260776456%,0.263645083%,0.0500040385%,160.82%
