家具和室内装饰品,家用，民用家具,卧室家具,床垫,2.90224605%,1.9449277584%,1.053642065%,0.353364549%,49.37%
家具和室内装饰品,家用，民用家具,卧室家具,床头柜,1.329273%,0.7644502152%,0.0292420485%,0.0%,105.02%
家具和室内装饰品,家用，民用家具,卧室家具,其它卧室家具,2.33952048%,1.2454818132%,0.0125323065%,0.0%,16.4%
家具和室内装饰品,家用，民用家具,卧室家具,"衣柜,衣橱",5.54897629%,4.5724003518%,2.2117200175%,1.766328183%,154.59%
家具和室内装饰品,家用，民用家具,餐厅家具,餐椅,5.859501593%,4.432181754%,3.9372862767%,0.3534075%,139.5%
家具和室内装饰品,家用，民用家具,餐厅家具,餐厅套装,2.71039274%,1.7958970224%,0.0130002621%,0.0%,46.17%
家具和室内装饰品,家用，民用家具,餐厅家具,餐桌,4.6616458185%,3.2304893184%,0.5132862105%,0.0%,63.02%
家具和室内装饰品,家用，民用家具,餐厅家具,其它餐厅家具,2.285458285%,1.1627282004%,0.0035862792%,0.0%,168.37%
家具和室内装饰品,家用，民用家具,餐厅家具,餐具柜,1.24034922%,0.6278555172%,0.0161382564%,0.0%,44.65%
家具和室内装饰品,家用，民用家具,厨房家具,-,2.18999%,1.467513%,0.227766%,0.706815%,72.91%
家具和室内装饰品,家用，民用家具,客厅家具,书柜，书架,4.380565695%,2.768970096%,1.0508129352%,0.706815%,35.64%
家具和室内装饰品,家用，民用家具,客厅家具,CD架,0.7661695294%,0.365350221%,0.0%,0.0%,94.23%
家具和室内装饰品,家用，民用家具,客厅家具,躺椅,4.0919637198%,2.660005995%,1.0602797184%,0.3534075%,38.8%
家具和室内装饰品,家用，民用家具,客厅家具,衣帽架,4.1263210978%,2.7657652695%,1.0105791066%,1.0602225%,76.57%
家具和室内装饰品,家用，民用家具,客厅家具,茶几，小边桌,8.2663851468%,5.83278423%,2.0897923914%,0.3534075%,90.94%
家具和室内装饰品,家用，民用家具,客厅家具,角桌,0.7489908404%,0.4262419245%,0.0260336538%,0.0%,47.28%
家具和室内装饰品,家用，民用家具,客厅家具,客厅柜子,1.4052167602%,0.89735142%,0.0%,0.0%,73.38%
家具和室内装饰品,家用，民用家具,客厅家具,客厅椅,8.8607677862%,6.3936288675%,4.14171765%,0.706815%,69.59%
家具和室内装饰品,家用，民用家具,客厅家具,客厅套装,1.6113610282%,0.8556886755%,0.0213002622%,0.0%,49.25%
家具和室内装饰品,家用，民用家具,客厅家具,客厅沙发,13.7292082488%,12.7327756845%,7.0314532218%,1.41363%,88.06%
家具和室内装饰品,家用，民用家具,客厅家具,其它客厅家具,1.88965579%,1.02554448%,0.0023666958%,0.0%,26.08%
家具和室内装饰品,家用，民用家具,客厅家具,鞋架，鞋柜,6.768403466%,5.8423987095%,5.4055332072%,8.48178%,348.48%
家具和室内装饰品,家用，民用家具,客厅家具,凳子，脚凳,5.5384093336%,3.7656711375%,0.994012236%,1.0602225%,61.13%
家具和室内装饰品,家用，民用家具,客厅家具,电视柜,1.2334298702%,0.7787728395%,0.8378103132%,0.0%,77.39%
家具和室内装饰品,家用，民用家具,其它家用家具,-,6.666737%,4.059615%,0.597023%,1.41363%,44.91%
家具和室内装饰品,其它家具,-,-,8.63%,4.83%,1.22%,3.18%,328.12%
家具和室内装饰品,户外家具,沙滩椅，户外椅,-,7.125132%,5.291035%,2.582374%,1.767444%,19.15%
家具和室内装饰品,户外家具,花园椅,-,3.492648%,2.263476%,0.286517%,0.0%,66.04%
家具和室内装饰品,户外家具,花园套装，户外套装,-,5.043852%,3.833203%,1.402817%,1.059576%,47.58%
家具和室内装饰品,户外家具,花园沙发，户外沙发,-,11.3007%,8.430489%,9.845766%,4.594464%,44.67%
家具和室内装饰品,户外家具,吊床,-,13.850268%,12.618559%,20.376196%,34.979364%,34.68%
家具和室内装饰品,户外家具,其它户外家具,-,3.538176%,2.151581%,0.290238%,0.351708%,31.69%
家具和室内装饰品,户外家具,户外桌，花园桌，野餐桌,-,5.99994%,4.661226%,1.034438%,1.059576%,22.55%
家具和室内装饰品,户外家具,户外长椅,-,0.621132%,0.310109%,0.003721%,0.0%,48.49%
家具和室内装饰品,户外家具,户外秋千,-,3.75606%,2.829345%,0.323727%,0.351708%,10.36%
家具和室内装饰品,户外家具,户外伞，基座,-,3.629232%,2.688677%,0.513498%,0.351708%,"1,145.7%"
家具和室内装饰品,户外家具,户外躺椅,-,2.985336%,1.892624%,0.55815%,0.351708%,22.52%
家居用品,手工艺品&缝纫用品（半成品）,服装缝纫用品及面料,粘扣带,0.124400068%,0.0409974448%,0.038082528%,0.0387893841%,20.55%
家居用品,手工艺品&缝纫用品（半成品）,服装缝纫用品及面料,徽章,1.099427628%,0.3894757256%,0.161850744%,0.1226827032%,30.8%
