1403099,8
1403098,5
1403097,6
1403096,5
1403095,19
1403092,9
1403091,5
1403086,7
1403078,11
1403083,5
1403081,9
1403076,4
1403075,6
1403074,8
1403072,6
1403070,7
1403068,6
1403066,4
1403063,15
1403062,4
1403061,8
1403055,10
1403054,12
1403053,16
1403052,4
1403051,4
1403050,4
1403048,6
1403047,7
1403045,6
1403036,7
1403035,27
1403034,5
1403033,6
1403032,5
1403029,12
1403020,6
1403018,6
1403017,5
1403011,7
1403010,8
1403009,3
1402995,18
1402993,6
1402992,6
1402991,4
1402989,3
1402986,5
1402983,4
1402982,8
1402981,3
1402980,3
1402974,6
1402970,4
1402969,16
1402968,7
1402966,8
1402965,7
1402964,4
1402963,3
